"","sigma","mu1","mu2","delta","Delta_B1ELT","Delta_B1ERT","Delta_B1sym","rbar1_sharpELT","rbar1_sharpERT","rbar1_sharpsym","rbar1ELT","rbar1ERT","rbar1sym","rbar2_sharpELT","rbar2_sharpERT","rbar2_sharpsym","co.fracELT","co.fracERT","co.fracsym","co.meanELT","co.meanERT","co.meansym","co.numELT","co.numERT","co.numsym"
"1244",0.8,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001001,0.001001,0.001001,1001,1001,1001,1,1,1
"1245",0.8,0.4,0.6,0.1,0.0143530721656879,0.0143406189967929,0.0141068561966327,0.0371219586500735,0.0369259312335371,0.0369503556498821,-0.0121041313878176,-0.012123584687574,-0.0123203439570567,0.063579162203579,0.063390134917904,0.0633775558035715,0.0002081,0.000203,0.0002017,183.766666666667,117.936666666667,116.916666666667,1.3,2.2,2.2
"1246",0.8,0.4,0.6,0.2,0.0205163144659645,0.0205328416834876,0.0203351936067939,0.054523024628074,0.0543218876337274,0.0545262870252124,-0.0259019188824757,-0.0259191189146555,-0.0260612326030209,0.100941257976514,0.10077384823187,0.100922713235027,9.38e-05,0.0001047,0.0001034,76.37,58.1666666666667,88,1.7,2,1.5
"1247",0.8,0.4,0.6,0.3,0.0226310468472323,0.0225023370262158,0.0227137880272021,0.0605173986819368,0.0601759780195936,0.0602625990422648,-0.0412933653081952,-0.0413173988025024,-0.0412714868774253,0.124441810837364,0.123995713848312,0.124247873946892,7.09e-05,5.84e-05,5.76e-05,52.6166666666667,44.65,46.75,1.5,1.6,1.4
"1248",0.8,0.4,0.6,0.4,0.0220685032172991,0.0220429060900184,0.0221057060080589,0.0569645041835916,0.0571946023539754,0.056818532798368,-0.0581022425887791,-0.0582306837424073,-0.0580487952069622,0.13713524998967,0.137468192186401,0.136973034013389,4.36e-05,4.18e-05,4.72e-05,32.6333333333333,31.2166666666667,43.6,1.5,1.6,1.1
"1249",0.8,0.4,0.6,0.5,0.0192977432953338,0.0192015298444278,0.0196804356124039,0.0453598194772299,0.0451296477799206,0.0451466250165515,-0.0767815825957347,-0.0766908408122223,-0.0763521222612807,0.141439145368298,0.141022018436571,0.141179182890236,3.6e-05,3.35e-05,3.35e-05,23.55,28.1833333333333,28.8,1.8,1.4,1.3
"1250",0.8,0.4,0.6,0.6,0.0152721195232573,0.0150702292973528,0.0154155344043517,0.0247297738509223,0.0249135202623277,0.0248905133477689,-0.0968035651212072,-0.0968833918816367,-0.0966267360493404,0.136805458495387,0.136867141441317,0.136932783801461,3.54e-05,3.04e-05,3.35e-05,24.7833333333333,23.35,23.1166666666667,1.6,1.4,1.6
"1251",0.8,0.4,0.6,0.7,0.00990427027067728,0.0100903439760163,0.0103822225220829,-0.00497234974616493,-0.00473876711866429,-0.00458719417401596,-0.118884375561941,-0.118887011475472,-0.118490364116046,0.123816296086454,0.124238588332824,0.124285392464114,2.74e-05,2.56e-05,3.1e-05,21.55,25.6,20.4333333333333,1.4,1,1.6
"1252",0.8,0.4,0.6,0.8,0.00432611470858299,0.00446514197509271,0.00426820244254346,-0.0465324791317764,-0.0467043313439631,-0.0465735002177826,-0.14314390509237,-0.143013088240182,-0.1430009808769,0.100937540669176,0.100773898871312,0.100695683101661,2.16e-05,2.16e-05,2.23e-05,17.6166666666667,18.9,15.1666666666667,1.5,1.2,1.7
"1253",0.8,0.4,0.6,0.9,-0.000264563476884031,-0.000494908310902541,-0.000360890780521348,-0.105443269672167,-0.105431202013038,-0.105840959616948,-0.169698597553925,-0.169947874223225,-0.169818590505079,0.0639907644048739,0.0640217638992849,0.0636167401076087,2.09e-05,1.81e-05,1.83e-05,17.425,15.5,15.7666666666667,1.4,1.2,1.4
