"","sigma","mu1","mu2","delta","co.fracELT","co.fracERT","co.fracsym","co.meanELT","co.meanERT","co.meansym","co.numELT","co.numERT","co.numsym"
"17",0.4,0.1,0.5,0.5,1.69e-05,1.67e-05,1.67e-05,16.9,15.8,16.7,1,1.1,1
"18",0.4,0.1,0.5,0.6,1.39e-05,1.33e-05,1.3e-05,13.9,13.3,13,1,1,1
"19",0.4,0.1,0.5,0.7,1.14e-05,1.11e-05,1.13e-05,10.85,11.1,11.3,1.1,1,1
"20",0.4,0.1,0.5,0.8,1.01e-05,1.05e-05,1.06e-05,10.1,10.5,10.6,1,1,1
"21",0.4,0.1,0.5,0.9,9.8e-06,9.4e-06,8.8e-06,9.3,9.4,8.8,1.1,1,1
"22",0.4,0.1,0.5,1,7.9e-06,8.3e-06,7.3e-06,7.9,8.3,7.3,1,1,1
"23",0.4,0.1,0.9,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"24",0.4,0.1,0.9,0.1,4.69e-05,4.71e-05,4.76e-05,46.9,47.1,47.6,1,1,1
"25",0.4,0.1,0.9,0.2,2.27e-05,2.38e-05,2.38e-05,22.7,23.8,23.8,1,1,1
"26",0.4,0.1,0.9,0.3,1.51e-05,1.57e-05,1.56e-05,15.1,15.7,15.6,1,1,1
"27",0.4,0.1,0.9,0.4,1.18e-05,1.16e-05,1.15e-05,11.8,11.6,11.5,1,1,1
"28",0.4,0.1,0.9,0.5,8.9e-06,8.7e-06,8.7e-06,8.9,8.7,8.7,1,1,1
"29",0.4,0.1,0.9,0.6,7.6e-06,7.5e-06,7.5e-06,7.6,7.5,7.5,1,1,1
"30",0.4,0.1,0.9,0.7,6e-06,6e-06,6.1e-06,6,6,6.1,1,1,1
"31",0.4,0.1,0.9,0.8,5.9e-06,5.4e-06,5.5e-06,5.9,5.4,5.5,1,1,1
"32",0.4,0.1,0.9,0.9,4.4e-06,4.8e-06,4.7e-06,4.4,4.8,4.7,1,1,1
"33",0.4,0.1,0.9,1,4.3e-06,4.2e-06,4.3e-06,4.3,4.2,4.3,1,1,1
"34",0.4,0.5,0.1,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"35",0.4,0.5,0.1,0.1,8.43e-05,8.47e-05,8.26e-05,84.3,84.7,82.6,1,1,1
"36",0.4,0.5,0.1,0.2,4.22e-05,4.47e-05,4.21e-05,42.2,44.7,42.1,1,1,1
"37",0.4,0.5,0.1,0.3,2.82e-05,3.02e-05,2.82e-05,28.2,30.2,28.2,1,1,1
"38",0.4,0.5,0.1,0.4,2.13e-05,2.06e-05,2.03e-05,21.3,20.6,20.3,1,1,1
"39",0.4,0.5,0.1,0.5,1.61e-05,1.72e-05,1.58e-05,16.1,17.2,15.8,1,1,1
"40",0.4,0.5,0.1,0.6,1.3e-05,1.36e-05,1.37e-05,13,12.9,13.7,1,1.1,1
"41",0.4,0.5,0.1,0.7,1.12e-05,1.2e-05,1.21e-05,11.2,12,12.1,1,1,1
"42",0.4,0.5,0.1,0.8,1.02e-05,9.9e-06,9.9e-06,9.65,9.9,9.9,1.1,1,1
"43",0.4,0.5,0.1,0.9,8.3e-06,9.1e-06,9.2e-06,8.3,8.65,9.2,1,1.1,1
"44",0.4,0.5,0.1,1,7.4e-06,8.9e-06,8.6e-06,7.4,8.9,8.6,1,1,1
"45",0.4,0.5,0.5,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"46",0.4,0.5,0.5,0.1,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"47",0.4,0.5,0.5,0.2,0.9995829,0.9992726,0.9995547,114003.390661884,56219.3510651752,63955.5187843564,14.2,27.3,17.4
"48",0.4,0.5,0.5,0.3,0.9917222,0.9917807,0.9927835,3731.85923604341,3855.47004641741,2629.56738831943,277.1,265.7,382.2
"49",0.4,0.5,0.5,0.4,0.962179,0.9619494,0.9651367,877.911519474064,846.440368479592,614.944607467407,1104.1,1142.2,1579.8
"50",0.4,0.5,0.5,0.5,0.897031,0.8953048,0.9004733,355.665387586127,350.282632398288,244.254991677296,2531.8,2566.1,3689.6
"51",0.4,0.5,0.5,0.6,0.8027292,0.8015578,0.7971542,196.603131562691,199.383345844681,131.79322208732,4087.3,4024.2,6056.9
"52",0.4,0.5,0.5,0.7,0.6670899,0.6626622,0.6576614,128.969475456113,130.955061803274,85.9746655867782,5176.6,5068.2,7653.6
"53",0.4,0.5,0.5,0.8,0.5003775,0.4904165,0.4818417,90.8424432496747,91.2595913722117,61.4850370730424,5511.8,5375.8,7845.6
"54",0.4,0.5,0.5,0.9,0.2608909,0.2722908,0.2677147,68.818825017334,70.3761093868828,46.4831971692535,3788.6,3864.7,5767.1
"55",0.4,0.5,0.5,1,0.0175449,0.0226232,0.0237802,56.9744267551854,52.5717149423097,39.1795556694361,298.2,417.3,612.2
"56",0.4,0.5,0.9,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"57",0.4,0.5,0.9,0.1,8.57e-05,8.55e-05,8.46e-05,85.7,81.4,84.6,1,1.1,1
"58",0.4,0.5,0.9,0.2,4.12e-05,4.4e-05,4.3e-05,41.2,44,43,1,1,1
"59",0.4,0.5,0.9,0.3,2.64e-05,2.8e-05,2.78e-05,26.4,26.55,27.8,1,1.1,1
"60",0.4,0.5,0.9,0.4,2.06e-05,2.14e-05,1.99e-05,20.6,21.4,19.9,1,1,1
"61",0.4,0.5,0.9,0.5,1.63e-05,1.68e-05,1.73e-05,16.3,16.8,17.3,1,1,1
"62",0.4,0.5,0.9,0.6,1.43e-05,1.32e-05,1.32e-05,14.3,13.2,13.2,1,1,1
"63",0.4,0.5,0.9,0.7,1.17e-05,1.15e-05,1.09e-05,11,11.5,10.9,1.1,1,1
"64",0.4,0.5,0.9,0.8,1.04e-05,9.7e-06,1.04e-05,10.4,9.7,10.4,1,1,1
"65",0.4,0.5,0.9,0.9,8.7e-06,8.7e-06,9.1e-06,8.25,8.7,9.1,1.1,1,1
"66",0.4,0.5,0.9,1,8e-06,7.8e-06,7.4e-06,7.6,7.8,7.4,1.1,1,1
"67",0.4,0.9,0.1,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"68",0.4,0.9,0.1,0.1,4.73e-05,4.79e-05,4.65e-05,47.3,47.9,46.5,1,1,1
"69",0.4,0.9,0.1,0.2,2.36e-05,2.33e-05,2.33e-05,23.6,23.3,23.3,1,1,1
"70",0.4,0.9,0.1,0.3,1.53e-05,1.55e-05,1.47e-05,15.3,15.5,14.7,1,1,1
"71",0.4,0.9,0.1,0.4,1.14e-05,1.15e-05,1.12e-05,11.4,11.5,11.2,1,1,1
"72",0.4,0.9,0.1,0.5,8.5e-06,8.8e-06,9.1e-06,8.5,8.8,9.1,1,1,1
"73",0.4,0.9,0.1,0.6,7.4e-06,7.2e-06,7.2e-06,7.4,7.2,7.2,1,1,1
"74",0.4,0.9,0.1,0.7,5.8e-06,6.4e-06,6.3e-06,5.8,6.4,6.3,1,1,1
"75",0.4,0.9,0.1,0.8,5.3e-06,5.4e-06,5.2e-06,5.3,5.4,5.2,1,1,1
"76",0.4,0.9,0.1,0.9,4.9e-06,4.6e-06,4.8e-06,4.9,4.6,4.8,1,1,1
"77",0.4,0.9,0.1,1,4.4e-06,4.3e-06,4.4e-06,4.4,4.3,4.4,1,1,1
"78",0.4,0.9,0.5,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"79",0.4,0.9,0.5,0.1,8.36e-05,8.56e-05,8.5e-05,83.6,81.3,85,1,1.1,1
"80",0.4,0.9,0.5,0.2,4.23e-05,4.07e-05,4.2e-05,42.3,40.7,42,1,1,1
"81",0.4,0.9,0.5,0.3,2.77e-05,2.82e-05,2.73e-05,27.7,28.2,27.3,1,1,1
"82",0.4,0.9,0.5,0.4,2.07e-05,2.11e-05,2.13e-05,20.7,21.1,21.3,1,1,1
"83",0.4,0.9,0.5,0.5,1.61e-05,1.65e-05,1.65e-05,16.1,16.5,16.5,1,1,1
"84",0.4,0.9,0.5,0.6,1.3e-05,1.4e-05,1.35e-05,12.15,14,13.5,1.1,1,1
"85",0.4,0.9,0.5,0.7,1.09e-05,1.19e-05,1.19e-05,10.9,11.9,11.9,1,1,1
"86",0.4,0.9,0.5,0.8,9.8e-06,1.03e-05,1.09e-05,9.8,10.3,10.9,1,1,1
"87",0.4,0.9,0.5,0.9,9.4e-06,8.5e-06,9.4e-06,8.9,8.5,9.4,1.1,1,1
"88",0.4,0.9,0.5,1,7.9e-06,7.6e-06,8.7e-06,7.9,7.6,8.7,1,1,1
"89",0.4,0.9,0.9,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"90",0.4,0.9,0.9,0.1,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"91",0.4,0.9,0.9,0.2,0.9996493,0.9995656,0.9995531,235876.144935083,128420.423842593,80914.8999613694,15.9,15.7,19.3
